GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
26864	5.39e-07	2.61e-11	0.1969	-6.6672335	-1.3130773	192.51	RNVU1-7	RNA, variant U1 small nuclear 7
112268274	1.22e-05	1.76e-09	0.273	-6.0183023	-1.6431178	893.56	LOC112268274	uncharacterized LOC112268274
105370449	1.22e-05	1.68e-09	0.32	-6.0262626	-1.9282324	279.02	LOC105370449	uncharacterized LOC105370449
28970	2.93e-05	5.67e-09	0.029	5.8261602	0.1690976	897.09	C11orf54	chromosome 11 open reading frame 54
677832	3.94e-05	9.53e-09	0.3323	-5.7388919	-1.9071547	120.15	SNORA53	small nucleolar RNA, H/ACA box 53
10025	1.12e-04	3.26e-08	0.0545	-5.5269283	-0.3013767	3457.13	MED16	mediator complex subunit 16
23409	1.32e-04	4.47e-08	0.2225	-5.4713462	-1.2172887	1304.76	SIRT4	sirtuin 4
107984952	1.34e-04	6.77e-08	0.2944	-5.3971084	-1.5891653	523.33	LOC107984952	uncharacterized LOC107984952
102466865	1.34e-04	5.79e-08	0.1228	5.4250639	0.6659887	60.43	MIR7848	microRNA 7848
284323	1.34e-04	7.08e-08	0.0646	5.3890796	0.3482424	1498.59	ZNF780A	zinc finger protein 780A
90625	1.34e-04	7.10e-08	0.1049	5.3886758	0.5651865	99.55	ERVH48-1	endogenous retrovirus group 48 member 1, envelope
84314	1.80e-04	1.04e-07	0.1678	-5.3193028	-0.8923428	1305.11	TMEM107	transmembrane protein 107
102465454	3.18e-04	2.00e-07	0.1315	5.1997123	0.6838726	9.91	MIR6758	microRNA 6758
494115	3.25e-04	2.20e-07	0.037	-5.1818838	-0.1917769	1209.09	RBMXL1	RBMX like 1
26869	3.78e-04	3.11e-07	0.1934	-5.116551	-0.9893349	589.86	RNU1-3	RNA, U1 small nuclear 3
10181	3.78e-04	3.49e-07	0.0343	5.0949571	0.1747298	5792.13	RBM5	RNA binding motif protein 5
132241	3.78e-04	3.66e-07	0.0401	5.0860383	0.2039138	459.85	RPL32P3	ribosomal protein L32 pseudogene 3
7128	3.78e-04	3.25e-07	0.2561	-5.1085134	-1.3081208	15308.06	TNFAIP3	TNF alpha induced protein 3
3043	3.78e-04	2.83e-07	0.4022	-5.1341702	-2.0649256	1059.91	HBB	hemoglobin subunit beta
126070	3.78e-04	3.35e-07	0.049	5.1028619	0.2500972	413.89	ZNF440	zinc finger protein 440
100775107	4.30e-04	4.57e-07	0.0469	5.0437081	0.2364198	465.55	RBM5-AS1	RBM5 antisense RNA 1
284390	4.30e-04	4.50e-07	0.0685	5.0466679	0.345651	136.38	ZNF763	zinc finger protein 763
3039	4.60e-04	5.11e-07	0.4075	-5.0220708	-2.0465155	677.93	HBA1	hemoglobin subunit alpha 1
286102	4.65e-04	5.39e-07	0.0662	5.0119103	0.3316746	133.99	TMED10P1	transmembrane p24 trafficking protein 10 pseudogene 1
3040	6.18e-04	7.46e-07	0.4056	-4.948865	-2.0074463	499.09	HBA2	hemoglobin subunit alpha 2
26821	6.29e-04	7.90e-07	0.2932	-4.9377549	-1.4476145	44.56	SNORA74A	small nucleolar RNA, H/ACA box 74A
101954276	6.39e-04	8.34e-07	0.2069	-4.927188	-1.0193647	215.79	RNVU1-6	RNA, variant U1 small nuclear 6
102466225	1.07e-03	1.50e-06	0.2178	-4.8118305	-1.0478681	44.89	MIR6077	microRNA 6077
1411	1.07e-03	1.46e-06	0.1337	4.8162762	0.643734	101.26	CRYBA1	crystallin beta A1
414224	1.08e-03	1.62e-06	0.1263	4.7957752	0.6055774	75.99	AGAP12P	ArfGAP with GTPase domain, ankyrin repeat and PH domain 12, pseudogene
6650	1.08e-03	1.59e-06	0.0754	-4.7991233	-0.3617076	5613.15	CAPN15	calpain 15
112268419	1.27e-03	1.96e-06	0.0515	4.7573281	0.2448618	168.28	LOC112268419	uncharacterized LOC112268419
105376230	1.38e-03	2.19e-06	0.1512	4.7347279	0.7161139	17.97	TEX53	testis expressed 53
90806	1.40e-03	2.31e-06	0.0279	4.724559	0.131635	1644.71	ANGEL2	angel homolog 2
26871	1.42e-03	2.41e-06	0.1908	-4.7159177	-0.899707	831.33	RNU1-1	RNA, U1 small nuclear 1
9929	1.48e-03	2.58e-06	0.0464	-4.7018755	-0.2180015	3073.97	JOSD1	Josephin domain containing 1
57396	1.54e-03	2.76e-06	0.0535	4.6881468	0.2509093	1109.32	CLK4	CDC like kinase 4
105369974	2.10e-03	3.85e-06	0.1743	4.619431	0.8051905	22.1	LOC105369974	uncharacterized LOC105369974
101954266	2.10e-03	4.46e-06	0.1953	-4.5888172	-0.8963007	693.37	RNVU1-14	RNA, variant U1 small nuclear 14
101927300	2.10e-03	4.34e-06	0.0974	4.5941709	0.4474256	81.61	GOT1-DT	GOT1 divergent transcript
26835	2.10e-03	4.15e-06	0.2586	-4.6035935	-1.1905301	78.86	RNU4-1	RNA, U4 small nuclear 1
91300	2.10e-03	4.25e-06	0.0511	-4.598698	-0.2350064	4210.04	R3HDM4	R3H domain containing 4
