"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"33","Process","GO:0002376",44,2481,9606,"9606.ENSP00000011653,9606.ENSP00000075120,9606.ENSP00000215781,9606.ENSP00000216392,9606.ENSP00000219334,9606.ENSP00000222553,9606.ENSP00000241261,9606.ENSP00000257570,9606.ENSP00000261024,9606.ENSP00000263734,9606.ENSP00000265016,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000330959,9606.ENSP00000344829,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000356076,9606.ENSP00000356465,9606.ENSP00000356905,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000365048,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000384262,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000394842,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000440643,9606.ENSP00000447378,9606.ENSP00000447730,9606.ENSP00000481114","CD4,SLC2A3,OSM,PYGL,SMPD3,NAMPT,TNFSF10,OASL,SLC40A1,EPAS1,BST1,HHEX,STOM,HK3,CCR1,RNASE2,IL1R2,QPCT,PLSCR1,ARG1,CCRL2,DYRK3,RAB32,VNN1,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,TNFSF13B,CKAP4,SERPINB1,PROS1,HPSE,MDK,IL1R1,IL18R1,GCA,ADAM9,MYO10,TLR5,MGAM,CD63,FOLR3",4.8e-14,6.17e-10,"Immune system process"
"34","Process","GO:0140352",29,1028,9606,"9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000219334,9606.ENSP00000222390,9606.ENSP00000237612,9606.ENSP00000242465,9606.ENSP00000261024,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000365048,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,PYGL,SMPD3,HGF,ABCG2,SRGN,SLC40A1,BST1,EGF,STOM,HK3,CCR1,RNASE2,A2M,QPCT,ARG1,STX11,VNN1,TNFSF13B,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MGAM,LIN7A,CD63,FOLR3",7.6e-14,6.17e-10,"Export from cell"
"35","Process","GO:0050896",79,8046,9606,"9606.ENSP00000011653,9606.ENSP00000054668,9606.ENSP00000075120,9606.ENSP00000215781,9606.ENSP00000216338,9606.ENSP00000216392,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000222553,9606.ENSP00000237612,9606.ENSP00000241261,9606.ENSP00000242465,9606.ENSP00000257570,9606.ENSP00000260600,9606.ENSP00000261024,9606.ENSP00000261233,9606.ENSP00000263734,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000272425,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000293851,9606.ENSP00000295400,9606.ENSP00000296140,9606.ENSP00000303149,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000325296,9606.ENSP00000330032,9606.ENSP00000330959,9606.ENSP00000344829,9606.ENSP00000345494,9606.ENSP00000348521,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000355996,9606.ENSP00000356465,9606.ENSP00000356905,9606.ENSP00000359258,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000364945,9606.ENSP00000365048,9606.ENSP00000365569,9606.ENSP00000366915,9606.ENSP00000367265,9606.ENSP00000369442,9606.ENSP00000370115,9606.ENSP00000375907,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000381793,9606.ENSP00000381876,9606.ENSP00000384262,9606.ENSP00000384570,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000394842,9606.ENSP00000410257,9606.ENSP00000419446,9606.ENSP00000421280,9606.ENSP00000422607,9606.ENSP00000436714,9606.ENSP00000440643,9606.ENSP00000441828,9606.ENSP00000447378,9606.ENSP00000447730,9606.ENSP00000467290,9606.ENSP00000478561,9606.ENSP00000479919,9606.ENSP00000481114,9606.ENSP00000482245","CD4,UTS2,SLC2A3,OSM,GZMH,PYGL,SMPD3,AQP9,HGF,NAMPT,ABCG2,TNFSF10,SRGN,OASL,ADCY3,SLC40A1,IRAK3,EPAS1,BST1,EGF,NAT8,HHEX,STOM,HK3,PRSS33,TGFA,CCR1,GPR27,RNASE2,A2M,PKD2L1,UPP1,IL1R2,QPCT,PLSCR1,GJB6,ARG1,CCRL2,G0S2,RAB32,VNN1,GCLM,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,DDAH2,TNFSF13B,FLOT1,KLF5,CKAP4,KL,SERPINB1,PID1,PROS1,MMRN1,GRB10,DAAM2,HPSE,CARD10,MDK,IL1R1,IL18R1,GCA,SCN5A,ADAM9,MYO10,ACSL1,HCAR3,TLR5,HPR,MGAM,CD63,SEMA6B,CYP1B1,SH3GLB1,FOLR3,DACH1",2.54e-13,1.09e-09,"Response to stimulus"
"36","Process","GO:0046903",29,1097,9606,"9606.ENSP00000075120,9606.ENSP00000200652,9606.ENSP00000216392,9606.ENSP00000219334,9606.ENSP00000219919,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000365048,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,SLC22A4,PYGL,SMPD3,AQP9,HGF,SRGN,BST1,EGF,STOM,HK3,CCR1,RNASE2,A2M,QPCT,ARG1,STX11,VNN1,TNFSF13B,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MGAM,LIN7A,CD63,FOLR3",3.74e-13,1.2e-09,"Secretion"
"37","Process","GO:0006887",25,789,9606,"9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,PYGL,HGF,SRGN,BST1,EGF,STOM,HK3,CCR1,RNASE2,A2M,QPCT,ARG1,STX11,VNN1,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MGAM,LIN7A,CD63,FOLR3",4.83e-13,1.24e-09,"Exocytosis"
"38","Process","GO:0032940",27,979,9606,"9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000219334,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000365048,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000447378,9606.ENSP00000447488,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,PYGL,SMPD3,HGF,SRGN,BST1,EGF,STOM,HK3,CCR1,RNASE2,A2M,QPCT,ARG1,STX11,VNN1,TNFSF13B,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MGAM,LIN7A,CD63,FOLR3",1.13e-12,2.41e-09,"Secretion by cell"
"39","Process","GO:0045055",23,697,9606,"9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000222390,9606.ENSP00000242465,9606.ENSP00000265016,9606.ENSP00000265171,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000303276,9606.ENSP00000323929,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000356540,9606.ENSP00000356905,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000377783,9606.ENSP00000378431,9606.ENSP00000384262,9606.ENSP00000394842,9606.ENSP00000447378,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,PYGL,HGF,SRGN,BST1,EGF,STOM,HK3,RNASE2,A2M,QPCT,ARG1,STX11,VNN1,CKAP4,SERPINB1,PROS1,MMRN1,HPSE,GCA,MGAM,CD63,FOLR3",2.19e-12,4.02e-09,"Regulated exocytosis"
"40","Process","GO:0006955",33,1588,9606,"9606.ENSP00000011653,9606.ENSP00000075120,9606.ENSP00000215781,9606.ENSP00000216392,9606.ENSP00000241261,9606.ENSP00000257570,9606.ENSP00000265016,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000296140,9606.ENSP00000303276,9606.ENSP00000330959,9606.ENSP00000344829,9606.ENSP00000349446,9606.ENSP00000349967,9606.ENSP00000356905,9606.ENSP00000359783,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000365048,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000384262,9606.ENSP00000385451,9606.ENSP00000386380,9606.ENSP00000387211,9606.ENSP00000394842,9606.ENSP00000440643,9606.ENSP00000447378,9606.ENSP00000447730,9606.ENSP00000481114","CD4,SLC2A3,OSM,PYGL,TNFSF10,OASL,BST1,STOM,HK3,CCR1,RNASE2,IL1R2,QPCT,ARG1,CCRL2,VNN1,IFI44,IFI44L,IFIT1,IFIT3,IFIT2,TNFSF13B,CKAP4,SERPINB1,HPSE,MDK,IL1R1,IL18R1,GCA,TLR5,MGAM,CD63,FOLR3",3.92e-12,6.3e-09,"Immune response"
"41","Process","GO:0002252",25,969,9606,"9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000257570,9606.ENSP00000265016,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000303276,9606.ENSP00000344829,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000356905,9606.ENSP00000359787,9606.ENSP00000360869,9606.ENSP00000360883,9606.ENSP00000360891,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000384262,9606.ENSP00000385451,9606.ENSP00000387211,9606.ENSP00000394842,9606.ENSP00000421280,9606.ENSP00000447378,9606.ENSP00000447730,9606.ENSP00000481114","SLC2A3,PYGL,OASL,BST1,STOM,HK3,RNASE2,QPCT,PLSCR1,ARG1,VNN1,IFI44L,IFIT1,IFIT3,IFIT2,CKAP4,SERPINB1,HPSE,MDK,IL18R1,GCA,MYO10,MGAM,CD63,FOLR3",3.73e-11,5.33e-08,"Immune effector process"
"42","Process","GO:0001775",25,1075,9606,"9606.ENSP00000011653,9606.ENSP00000075120,9606.ENSP00000216392,9606.ENSP00000222553,9606.ENSP00000265016,9606.ENSP00000282728,9606.ENSP00000286713,9606.ENSP00000292432,9606.ENSP00000303276,9606.ENSP00000344829,9606.ENSP00000345494,9606.ENSP00000349446,9606.ENSP00000356905,9606.ENSP00000359258,9606.ENSP00000366915,9606.ENSP00000367265,9606.ENSP00000370115,9606.ENSP00000384262,9606.ENSP00000385451,9606.ENSP00000387211,9606.ENSP00000394842,9606.ENSP00000419446,9606.ENSP00000447378,9606.ENSP00000447730,9606.ENSP00000481114","CD4,SLC2A3,PYGL,NAMPT,BST1,HHEX,STOM,HK3,RNASE2,QPCT,PLSCR1,ARG1,VNN1,GCLM,KLF5,CKAP4,SERPINB1,HPSE,MDK,IL18R1,GCA,ADAM9,MGAM,CD63,FOLR3",3.17e-10,4.07e-07,"Cell activation"
