"Gene","padj_1","p_value_1","lfcSE.x","stat.x","log2FC_1","baseMean.x","Symbol.x","Description.x","padj_2","p_value_2","lfcSE.y","stat.y","log2FC_2","baseMean.y","Symbol.y","Description.y","Regulation"
109,1.94e-10,2.73e-12,0.2633,-6.9907338,-1.840649,696.36,"ADCY3","adenylate cyclase 3",0.999,0.59,0.1682,-0.53895,-0.0906773,1124.23,"ADCY3","adenylate cyclase 3","Downregulated"
366,2.46e-09,5.88e-11,0.198,-6.546868,-1.2963006,31600.74,"AQP9","aquaporin 9",0.999,0.814,0.6321,-0.2348167,-0.1484296,2351.28,"AQP9","aquaporin 9","Downregulated"
383,0.000773,0.000168,0.4307,-3.7624779,-1.6205815,1967.09,"ARG1","arginase 1",0.999,0.561,0.126,-0.5806189,-0.0731821,97.97,"ARG1","arginase 1","Downregulated"
683,4.26e-11,4.43e-13,0.1581,-7.2418643,-1.1449534,4127.56,"BST1","bone marrow stromal cell antigen 1",0.999,0.878,0.5953,-0.1534887,-0.0913712,2807.67,"BST1","bone marrow stromal cell antigen 1","Downregulated"
688,1.34e-08,4.4e-10,0.206,-6.2390363,-1.2852668,213.54,"KLF5","KLF transcription factor 5",0.999,0.807,0.2101,0.2446917,0.051416,103.75,"KLF5","KLF transcription factor 5","Downregulated"
967,1.56e-10,2.09e-12,0.1599,-7.0282187,-1.1237434,6214.69,"CD63","CD63 molecule",0.999,0.786,0.2787,-0.2714241,-0.0756518,3184.9,"CD63","CD63 molecule","Downregulated"
1230,9.88e-10,1.94e-11,0.2656,-6.7104862,-1.7820665,4406.9,"CCR1","C-C motif chemokine receptor 1",0.999,0.965,0.5287,0.0444433,0.0234985,3207.23,"CCR1","C-C motif chemokine receptor 1","Downregulated"
1475,9.53e-05,1.44e-05,0.3015,-4.3371106,-1.3076955,548.43,"CSTA","cystatin A",0.999,0.933,0.6566,0.08376,0.0549955,828.46,"CSTA","cystatin A","Downregulated"
1545,3.73e-10,5.96e-12,0.2944,-6.8806727,-2.0258356,4554.63,"CYP1B1","cytochrome P450 family 1 subfamily B member 1",0.999,0.878,0.6281,-0.153195,-0.0962201,6323.4,"CYP1B1","cytochrome P450 family 1 subfamily B member 1","Downregulated"
1602,1.82e-09,4.07e-11,0.2321,-6.6014164,-1.5322035,785.2,"DACH1","dachshund family transcription factor 1",0.999,0.778,0.4323,-0.2823522,-0.1220633,110.15,"DACH1","dachshund family transcription factor 1","Downregulated"
1950,0.000663,0.00014,0.3242,-3.808116,-1.2344263,881.35,"EGF","epidermal growth factor",0.999,0.798,0.2609,-0.2557515,-0.0667161,15.58,"EGF","epidermal growth factor","Downregulated"
