"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","interleukin-1 receptor activity","GO:0004908","true","0.006422201677543643","2.1923160603283685","7","139","3","20212","IL1R1,IL1R2,IL18R1"
"GO:MF","hydrolase activity, acting on glycosyl bonds","GO:0016798","true","0.0244787506253063","1.6112107519832535","135","139","7","20212","BST1,IL1R1,IL18R1,MGAM,KL,HPSE,ACER3"
"GO:MF","pantetheine hydrolase activity","GO:0017159","true","0.0276215390615468","1.5587521263614759","2","139","2","20212","VNN2,VNN1"
"GO:MF","growth factor receptor binding","GO:0070851","true","0.029490085813387613","1.5303239636900978","139","139","7","20212","EGF,IL1R1,PLSCR1,TGFA,TLR5,KL,PDGFC"
"GO:MF","NAD+ nucleosidase activity","GO:0003953","true","0.029670453374995694","1.527675817459548","11","139","3","20212","BST1,IL1R1,IL18R1"
"GO:MF","glucose binding","GO:0005536","true","0.039361411567100026","1.404929335423369","12","139","3","20212","HK3,PYGL,SLC2A3"
"GO:MF","pattern recognition receptor activity","GO:0038187","true","0.0497805337067203","1.3029404515474121","34","139","4","20212","TLR5,TLR8,IFIH1,CLEC4D"
"GO:BP","response to external stimulus","GO:0009605","true","2.1678154402992516e-10","9.663977694768104","2723","133","51","21031","ARG1,BST1,CD63,CCR1,CYP1B1,ACSL1,GCLM,HGF,IFIT2,IFIT1,IFIT3,IL1R1,MDK,OSM,PLSCR1,PROS1,PYGL,RNASE2,ST3GAL4,TLR5,UPP1,OASL,ADAM9,VNN1,PKD2L1,CCRL2,KL,FLOT1,SEMA6B,IFI44,GJB6,HPSE,IFI44L,RAB32,IRAK3,MMRN1,SH3GLB1,TLR8,PLAC8,RAB20,NLRC4,PROK2,RTP4,IFIH1,DDX60L,CARD16,GBP5,LRG1,CMPK2,APOBEC3A,CLEC4D"
"GO:BP","defense response","GO:0006952","false","0.000006818089581586263","5.1663372969567884","1791","133","34","21031","ARG1,BST1,CCR1,HGF,IFIT2,IFIT1,IFIT3,IL1R1,MDK,OSM,PLSCR1,RNASE2,TLR5,IL1R2,OASL,IL18R1,VNN1,CCRL2,FLOT1,IFI44L,IRAK3,TLR8,PLAC8,ACER3,RAB20,NLRC4,PROK2,RTP4,IFIH1,DDX60L,CARD16,GBP5,APOBEC3A,CLEC4D"
"GO:BP","positive regulation of response to stimulus","GO:0048584","false","0.00002162746667417658","4.664994348515591","2274","133","38","21031","ARG1,CD63,CCR1,CYP1B1,EGF,GPR27,GRB10,HGF,HHEX,IL1R1,MDK,OSM,PLSCR1,ST3GAL4,TGFA,TLR5,OASL,TNFSF10,ADAM9,IL18R1,VNN1,KL,FLOT1,TNFSF13B,HPSE,IRAK3,DAAM2,G0S2,TLR8,MAP3K20,PDGFC,NLRC4,IFIH1,CARD16,GBP5,LRG1,CLEC4D,LRRC70"
"GO:BP","regulation of multicellular organismal process","GO:0051239","false","0.00003350943733770498","4.474832864411265","2955","133","44","21031","ARG1,BST1,CCR1,CYP1B1,EGF,SERPINB1,EPAS1,ACSL1,GRB10,HGF,HHEX,IL1R1,MDK,OSM,PLSCR1,SRGN,PROS1,SCN5A,ST3GAL4,TLR5,IL1R2,ADAM9,IL18R1,VNN1,KL,FLOT1,SEMA6B,TNFSF13B,HPSE,IRAK3,MMRN1,DAAM2,CARD10,G0S2,TLR8,PLAC8,PDGFC,NLRC4,PROK2,IFIH1,CARD16,GBP5,LRG1,CLEC4D"
"GO:BP","response to biotic stimulus","GO:0009607","false","0.0000763051441387522","4.11744618293939","1586","133","30","21031","ARG1,DACH1,IFIT2,IFIT1,IFIT3,PLSCR1,PYGL,RNASE2,TLR5,OASL,ADAM9,VNN1,FLOT1,IFI44,GJB6,IFI44L,IRAK3,TLR8,PLAC8,RAB20,NLRC4,RTP4,IFIH1,DDX60L,CARD16,GBP5,LRG1,CMPK2,APOBEC3A,CLEC4D"
"GO:BP","response to virus","GO:0009615","false","0.00007855635924432594","4.104818652470835","406","133","15","21031","IFIT2,IFIT1,IFIT3,PLSCR1,RNASE2,OASL,IFI44,IFI44L,IRAK3,TLR8,RTP4,IFIH1,DDX60L,GBP5,APOBEC3A"
"GO:BP","positive regulation of multicellular organismal process","GO:0051240","false","0.00015357962951407361","3.8136663844107277","1637","133","30","21031","BST1,CCR1,CYP1B1,EGF,EPAS1,ACSL1,GRB10,HGF,IL1R1,MDK,OSM,ST3GAL4,TLR5,IL18R1,VNN1,KL,FLOT1,TNFSF13B,HPSE,IRAK3,G0S2,TLR8,PLAC8,PDGFC,NLRC4,PROK2,IFIH1,GBP5,LRG1,CLEC4D"
"GO:BP","response to cytokine","GO:0034097","false","0.0001578271772895199","3.8018182106918705","932","133","22","21031","ARG1,KLF5,CCR1,CYP1B1,ACSL1,GCLM,IFIT1,IL1R1,OSM,PLSCR1,IL1R2,OASL,ADAM9,IL18R1,CCRL2,TNFSF13B,IRAK3,RAB20,IFIH1,CARD16,GBP5,LRRC70"
"GO:BP","defense response to virus","GO:0051607","false","0.0001643892792861714","3.78412650856406","312","133","13","21031","IFIT2,IFIT1,IFIT3,PLSCR1,RNASE2,OASL,IFI44L,TLR8,RTP4,IFIH1,DDX60L,GBP5,APOBEC3A"
"GO:BP","response to other organism","GO:0051707","false","0.00016579128043765293","3.780438314300778","1548","133","29","21031","ARG1,IFIT2,IFIT1,IFIT3,PLSCR1,PYGL,RNASE2,TLR5,OASL,ADAM9,VNN1,FLOT1,IFI44,GJB6,IFI44L,IRAK3,TLR8,PLAC8,RAB20,NLRC4,RTP4,IFIH1,DDX60L,CARD16,GBP5,LRG1,CMPK2,APOBEC3A,CLEC4D"
"GO:BP","response to stimulus","GO:0050896","false","0.00016827926550899174","3.773969392222477","8976","133","87","21031","ADCY3,AQP9,ARG1,BST1,KLF5,CD63,CCR1,CYP1B1,DACH1,EGF,EPAS1,ACSL1,GCLM,GPR27,GRB10,HGF,HHEX,IFIT2,IFIT1,IFIT3,IL1R1,MDK,MYO10,OSM,PLSCR1,SRGN,PROS1,PYGL,RNASE2,SCN5A,ST3GAL4,TGFA,TLR5,UPP1,IL1R2,DYRK3,OASL,TNFSF10,ADAM9,IL18R1,HCAR3,VNN1,PKD2L1,CCRL2,KL,ABCG2,NAMPT,FLOT1,SEMA6B,IFI44,TNFSF13B,GJB6,HPSE,UTS2,IFI44L,RAB32,IRAK3,MMRN1,DAAM2,CARD10,G0S2,SH3GLB1,TLR8,PLAC8,MAP3K20,GPR84,ACER3,RAB20,MCTP2,PDGFC,SIPA1L2,NLRC4,PROK2,RTP4,IFIH1,NABP1,DDX60L,CARD16,GBP5,LRG1,CMPK2,TRIM71,APOBEC3A,MSRB3,RGL4,CLEC4D,LRRC70"
"GO:BP","response to external biotic stimulus","GO:0043207","false","0.00017279341248950346","3.7624728184195777","1551","133","29","21031","ARG1,IFIT2,IFIT1,IFIT3,PLSCR1,PYGL,RNASE2,TLR5,OASL,ADAM9,VNN1,FLOT1,IFI44,GJB6,IFI44L,IRAK3,TLR8,PLAC8,RAB20,NLRC4,RTP4,IFIH1,DDX60L,CARD16,GBP5,LRG1,CMPK2,APOBEC3A,CLEC4D"
"GO:BP","response to stress","GO:0006950","false","0.0002174218438100445","3.6626968256149466","3855","133","50","21031","AQP9,ARG1,BST1,CCR1,CYP1B1,EPAS1,GCLM,HGF,IFIT2,IFIT1,IFIT3,IL1R1,MDK,OSM,PLSCR1,PROS1,RNASE2,ST3GAL4,TLR5,UPP1,IL1R2,DYRK3,OASL,ADAM9,IL18R1,VNN1,CCRL2,FLOT1,HPSE,IFI44L,IRAK3,MMRN1,SH3GLB1,TLR8,PLAC8,MAP3K20,ACER3,RAB20,NLRC4,PROK2,RTP4,IFIH1,NABP1,DDX60L,CARD16,GBP5,LRG1,APOBEC3A,MSRB3,CLEC4D"
